标题,日期,星期,链接,来源,标记,消息序号,记录时间
,,,https://www.zhihu.com/question/2005725246167147371,APP-知乎,,271,2026/2/15 1:13
让 OpenClaw 一键超简单部署，用 MonsterClaw 过年赚大钱,20260214,周六,https://mp.weixin.qq.com/s/9nzkRanqYEtWAE_10gh7gQ,微信-特工宇宙,,279,2026/2/15 1:13
"情人节用AI给老公写首歌：我的第一次""浪漫反击战""全记录",20260214,周六,https://mp.weixin.qq.com/s/oWdADMRN7JEpzt4Uq-rGCA,微信-智能共情体,,280,2026/2/15 1:13
性压抑的年轻人，开始和AI「做爱」丨2026人机恋报告,20260214,周六,https://mp.weixin.qq.com/s/tFbtJ83zWxlJ6tUPlzTABg,微信-后浪研究所,,281,2026/2/15 1:13
阿里版OpenClaw来了！三行代码就能部署，飞书QQ钉钉全打通,20260214,周六,https://mp.weixin.qq.com/s/pPnJLmZFXLcdEKsPlqCiwg,微信-智东西,,282,2026/2/15 1:13
观猹丨玩 AI，上观猹！,,,https://watcha.cn/products/monster-claw,Web-观猹,,283,2026/2/15 1:55
观猹丨玩 AI，上观猹！,,,https://watcha.cn/products/raycast-ai,Web-观猹,,283,2026/2/15 1:55
观猹丨玩 AI，上观猹！,,,https://watcha.cn/products/teamily,Web-观猹,,283,2026/2/15 1:55
观猹丨玩 AI，上观猹！,,,https://watcha.cn/products/team9,Web-观猹,,283,2026/2/15 1:55
观猹丨玩 AI，上观猹！,,,https://watcha.cn/products/nowmee,Web-观猹,,283,2026/2/15 1:55
对话 Elys 创始人：他的 10 个产品洞察，和他想创造的下一代社交网络,20260215,周日,https://mp.weixin.qq.com/s/MDPdDbOWe7RK-mxVvFoKeQ,微信-Founder Park,,293,2026/2/18 5:15
对话 Elys 创始人：他的 10 个产品洞察，和他想创造的下一代社交网络,20260215,周日,https://mp.weixin.qq.com/s/MDPdDbOWe7RK-mxVvFoKeQ,微信-Founder Park,,294,2026/2/18 5:15
扣子编程悄悄上线豆包2.0，这才是OpenClaw省钱的正确方式,20260215,周日,https://mp.weixin.qq.com/s/hsdLYJHv0JNeNcxL6LRNQA,微信-卡尔的AI沃茨,,296,2026/2/18 5:15
刚刚，OpenClaw 被 OpenAI 收编！,20260216,周一,https://mp.weixin.qq.com/s/wzB5Lxgg8o8ut9MX6oo2qg,微信-特工宇宙,,304,2026/2/18 5:15
创业半年，我用5个AI Agent替代了一个团队,20260217,周二,https://mp.weixin.qq.com/s/Y_G6t_azq8xsd1Ez6pfEPw,微信-孟健AI编程,,314,2026/2/18 5:15
《AI驱动的物联网在智慧医疗系统中的集成：增强患者诊疗与临床决策支持的综合框架》,20260217,周二,https://mp.weixin.qq.com/s/CffTVDpRVkl7cWyReQo-Nw,微信-数字医疗,,315,2026/2/18 5:15
"豆包大模型2.0+Claude Skills，3步装好，终于有AI能帮我""看视频做笔记""了！火山引擎全系列可用！",20260215,周日,https://mp.weixin.qq.com/s/8pVFZQ-NOJKkYtPx7j3IiA,微信-AI产品自由,,340,2026/2/18 5:15
OpenClaw，给新人的几个超实用小技巧（可能大部分人都会踩的坑）,20260213,周五,https://mp.weixin.qq.com/s/tAEyJ5x0PhXo39lukJHcJg,微信-骁哥AI编程,,352,2026/2/18 6:24
爆火的 OpenClaw，正在重新定价所有 AI 创业赛道,20260213,周五,https://mp.weixin.qq.com/s/uNBXFx4uDNkyK-ZQjQrYaA,微信-极客公园,,356,2026/2/18 15:53
OpenClaw 塌房了,20260218,周三,https://mp.weixin.qq.com/s/3hrVcNWPR25VjhfMJbTuNw,微信-特工宇宙,,371,2026/2/20 1:24
Gemini 3.1 Pro 发布,20260220,周五,https://mp.weixin.qq.com/s/U1iNgrZr9tgM1nv_tO_Gdg,微信-赛博禅心,,438,2026/2/21 0:57
一个中国团队是如何给 AI 造 DNA 的？,20260220,周五,https://mp.weixin.qq.com/s/1FH0Z2obQH96XWfZ50OaPw,微信-空格的键盘,,440,2026/2/21 0:57
开年重磅万字长文范式复盘：我们身在AI奇点之中,20260222,周日,https://mp.weixin.qq.com/s/RzMtSzpEuUWVY5iX-sUZQA,微信-AIGC从0到1,,473,2026/2/24 10:40
Openclaw+飞书，我搓了个懒人友好的健康管家,20260220,周五,https://mp.weixin.qq.com/s/x8C9hX2dYadnbrwg32XuiQ,微信-预集成,,474,2026/2/24 10:40
AI时代，一人公司别做“超级个体”，要做“超级接口”,20260218,周三,https://mp.weixin.qq.com/s/ziBOkMvTjfxigyzUHejxsw,微信-肥牛说财,,477,2026/2/24 10:40
1.5万字！2026年45个【AI+营销】主流产品全貌,20260209,周一,https://mp.weixin.qq.com/s/Sz1qtPDfPmfz8QIk2hZe_w,微信-TopMarketing,,478,2026/2/24 10:40
春节6天，我找到了各个领域最强的大模型。,20260222,周日,https://mp.weixin.qq.com/s/cVn-1MXQnhlFmhiMtVWi9A,微信-数字生命卡兹克,,479,2026/2/24 10:40
剧变已经发生，而你浑然不知,20260222,周日,https://mp.weixin.qq.com/s/ZMVBpxHIREklsOORPyNDXA,微信-张无常,,485,2026/2/24 10:40
从飞书到钉钉，深度迁移评测：我需要的不是AI功能，是AI原生环境,20260222,周日,https://mp.weixin.qq.com/s/TkGLuJ31ztScbJ4wO87RvQ,微信-AI变革,,503,2026/2/24 10:40
[转载]个人业务Agent升级指南,20260223,周一,https://mp.weixin.qq.com/s/igvh3ouwUuD9qDbJxkkcBQ,微信-五里长亭,,577,2026/2/24 10:40
Anthropic最新报告，揭示了300个独角兽的创业机会！YC CEO力挺,20260223,周一,https://mp.weixin.qq.com/s/MSUgMz9Ns2dXYXF5N9zy0A,微信-新智元,,578,2026/2/24 10:40
AI时代，一人公司别做“超级个体”，要做“超级接口”,20260218,周三,https://mp.weixin.qq.com/s/ziBOkMvTjfxigyzUHejxsw,微信-肥牛说财,Pin,586,2026/2/24 11:03
春节7天，我彻底重构了用AI获取一手信息的工作流,20260223,周一,https://mp.weixin.qq.com/s/0Su-vP1XZ6CSOS7xLvD_dg,微信-卡尔的AI沃茨,,588,2026/2/24 11:03
《人工智能在远程患者监测中的应用：技术与实践》,20260224,周二,https://mp.weixin.qq.com/s/8kVT221TZtW1EJ_Etr0PQA,微信-数字医疗,,597,2026-02-26 03:14:52
全网2500万曝光 Seedance AI视频，我如何做的？,20260215,周日,https://mp.weixin.qq.com/s/WiZ8glF1_DJvn3KeHPaEAQ,微信-多睡觉多学习就好咯,Pin,614,2026-02-26 03:14:52
《AI奇点》5万阅读后：你靠什么赚钱？AI认真颠覆,20260224,周二,https://mp.weixin.qq.com/s/nJbjEqwzuSCx-s9Yh-br3w,微信-AIGC从0到1,,618,2026-02-26 03:14:52
龙虾实际产品形态预测——龙虾生态创业者必读系列,20260225,周三,https://mp.weixin.qq.com/s/qtgASw0oyrTx3w-paBBWtg,微信-郎瀚威 Will,,660,2026-02-26 03:58:35
Will's AI数据 Openclaw生态排行榜 2026年02月,20260214,周六,https://mp.weixin.qq.com/s/qbPKhirrr2QYPs31GCAQ6Q,微信-郎瀚威 Will,,669,2026-02-26 03:58:35
AI让“知道”贬值，稀缺的是“能在任意认知层级架桥”的人,20260225,周三,https://mp.weixin.qq.com/s/jC7y-JUqJyUJ-8-7u9pUsg,微信-AIGC从0到1,,670,2026-02-26 03:58:35
小红书图像编辑模型开源，媲美NanoBanana Pro,20260224,周二,https://mp.weixin.qq.com/s/hPwDeNxHslJpDrUVILaUcg,微信-算泥,,683,2026-02-26 03:58:35
成功率飙升16%，首个SkillsBench告诉你如何用好Skills,20260226,周四,https://mp.weixin.qq.com/s/t9zPHPZpYEmOSepnc7pgog,微信-算泥,,688,2026-03-01 01:33:22
彻底急眼了！为围剿中国AI，硅谷竟然沦落到向国会哭诉,20260226,周四,https://mp.weixin.qq.com/s/q7ZheqnA_03V4zT8pzp34w,微信-AI进击之旅,,690,2026-03-01 01:33:22
Claude Code更新，你终于可以随时随地在手机上Vibe Coding了。,20260226,周四,https://mp.weixin.qq.com/s/vIWtXMH5b_A5g3FaxUsFHg,微信-数字生命卡兹克,,699,2026-03-01 01:33:22
Seedance2.0又新出了9种神级商用玩法，变身骑士已经落后N个版本了,20260226,周四,https://mp.weixin.qq.com/s/d2YgM-7vVMQaRP67MtZVdQ,微信-卡尔的AI沃茨,,701,2026-03-01 01:33:22
英伟达财报透视Token经济：在AI新世界，计算等同于收入，Agentic AI拐点已至，下一个浪潮是物理AI，共同驱动计算需求指数级爆炸！,20260226,周四,https://mp.weixin.qq.com/s/ilYFGW9Ahqqn909ZS6YyWg,微信-王铮Silvia,,703,2026-03-01 01:33:22
DAU已死，TPD永生,20260222,周日,https://mp.weixin.qq.com/s/xVVkNS3d0cU_W3dM937zhA,微信-版面之外,,705,2026-03-01 01:33:22
王继伟：医疗信创进入破局深水区,20260226,周四,https://mp.weixin.qq.com/s/O_xzIg0HoZlUNGpwGD0PMg,微信-HIT专家网官微,,708,2026-03-01 01:33:22
《人格提示改变大语言模型的临床行动阈值》,20260226,周四,https://mp.weixin.qq.com/s/KyAqr-MlVpe7Bo0zoeJP0A,微信-数字医疗,,709,2026-03-01 01:33:22
Anthropic 向全世界证明：他们正在监控 Claude 与用户的隐私对话,20260226,周四,https://mp.weixin.qq.com/s/UAj6MHX_5vAzb1cRt2V9Ow,微信-AI产品分析,,711,2026-03-01 01:33:22
GLM-5：迈向从Vibe Coding到Agentic Engineering的开源工业化进程,20260226,周四,https://mp.weixin.qq.com/s/39rrGnJkAD9wUGhb34EXog,微信-塔罗烩,,713,2026-03-01 01:33:22
AI 越成功，你越可能先变穷：一个 2028 年的鬼故事,20260226,周四,https://mp.weixin.qq.com/s/Hr565Lopv7ClQxOSrN3yHg,微信-和解AIAgent,,716,2026-03-01 01:33:22
阿里出手，最强Coding Plan出炉，OpenClaw可以痛快玩了,20260226,周四,https://mp.weixin.qq.com/s/GCZhS30uOYT-vvcLuIsXrQ,微信-苍何,,718,2026-03-01 01:33:22
"DeepSeek被指控""偷""了美国最强AI——72小时里藏着三条没人串起来的线",20260226,周四,https://mp.weixin.qq.com/s/VgLg9UqRuVpks9L5C5Tt7g,微信-降临派手记,,720,2026-03-01 01:33:22
AI 越成功，你越可能先变穷：一个 2028 年的鬼故事,20260226,周四,https://mp.weixin.qq.com/s/Hr565Lopv7ClQxOSrN3yHg,微信-和解AIAgent,,722,2026-03-01 01:33:22
中美AI之间的蒸馏，要撕破了,20260224,周二,https://mp.weixin.qq.com/s/W2uv9PcS70tp7ATNAr09Sg,微信-未尽研究,,724,2026-03-01 01:33:22
离谱！元宝AI除夕夜辱骂用户，官方回应,20260225,周三,https://mp.weixin.qq.com/s/549ASYsLnbMxBjcsXI57GA,微信-鞭牛士,,726,2026-03-01 01:33:22
OpenClaw 是一个信号｜2026 Long-Horizon Agent 投资地图,20260226,周四,https://mp.weixin.qq.com/s/EDJRZQLdNRs-gKzWFWigTQ,微信-海外独角兽,,750,2026-03-01 01:33:22
14亿留不住庞若鸣，扎克伯格怎么了？,20260227,周五,https://mp.weixin.qq.com/s/iuImbTXe2xjZR09FfHZR3A,微信-腾讯科技,,765,2026-03-01 01:33:22
实测Nano Banana 2，这次香蕉可算掌握4K多图片多尺寸了,20260227,周五,https://mp.weixin.qq.com/s/Tso_TIZugYMJ5KkPGCoS8Q,微信-卡尔的AI沃茨,,769,2026-03-01 01:33:22
百度去年总营收1291亿元，四季度AI业务收入占比四成,20260226,周四,https://m.toutiao.com/article/7611154290761187846/,头条OT,,771,2026-03-01 01:33:22
2028年全球智能危机：1600万阅读，这份推演未来的虚拟报告引发华尔街巨震,20260227,周五,https://mp.weixin.qq.com/s/viz_m3F8kexo5Yml3YlXgA,微信-王吉伟,,772,2026-03-01 01:33:22
一图顶10页PPT，8套高密度信息大图提示词开源,20260226,周四,https://mp.weixin.qq.com/s/BxPbfszjaTVllJPz2uf5Pw,微信-通往AGI之路,,775,2026-03-01 01:33:22
震惊！普通人靠 AI 两年赚百万美金，我扒出了他们的 30 条赚钱秘密（建议收藏）,20260227,周五,https://mp.weixin.qq.com/s/DFVoETFYF02WA6bKHUUGlA,微信-AI创破局,,784,2026-03-01 01:33:22
