序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/BSjNwclH4imSkvk9K2hc2u4YnSg?from=from_copylink,AI音乐周刊 W.A 027,AI音乐周刊 W.A 027,20260511,BSjNwclH4imSkvk9K2hc2u4YnSg,否
2,https://waytoagi.feishu.cn/wiki/SIDawiW5birLavks2bGcxmdBnrc?from=from_copylink,Agent Harness 工程（译）,Agent Harness 工程（译）,20260511,SIDawiW5birLavks2bGcxmdBnrc,否
3,https://waytoagi.feishu.cn/wiki/PHxzwkmK4i78l8kyZdzcCt6xnGd?from=from_copylink,压进我十年设计经验的 PPT Skills，迎来大波更新,压进我十年设计经验的 PPT Skills，迎来大波更新,20260511,PHxzwkmK4i78l8kyZdzcCt6xnGd,否
4,https://waytoagi.feishu.cn/wiki/GSRbwk0woiMzDzkl1IbcPoSunPh?from=from_copylink,可能是一份最详细的保姆级Codex教程，看完你就知道它为什么最近这么火,可能是一份最详细的保姆级Codex教程，看完你就知道它为什么最近这么火,20260511,GSRbwk0woiMzDzkl1IbcPoSunPh,否
5,https://waytoagi.feishu.cn/wiki/YUTXwVt2JiKijDkMSNBcO5pSnmc?from=from_copylink,深度拆解：AI 智能体 Harness 的构造【译】,深度拆解：AI 智能体 Harness 的构造【译】,20260511,YUTXwVt2JiKijDkMSNBcO5pSnmc,否
6,https://waytoagi.feishu.cn/wiki/QlojwQgLliezcikCE2lcY7OTnwb?from=from_copylink,Airbnb CEO：Airbnb正在为Agent时代重做自己丨Invest Like The Best,Airbnb CEO：Airbnb正在为Agent时代重做自己丨Invest Like The Best,20260511,QlojwQgLliezcikCE2lcY7OTnwb,否
7,https://waytoagi.feishu.cn/wiki/Xc0YwWvBRiDIWEk6y0Jcg30kngd?from=from_copylink,开源「伯乐Skill」，让你和Agent同时进化成AI热点懂王！,开源「伯乐Skill」，让你和Agent同时进化成AI热点懂王！,20260512,Xc0YwWvBRiDIWEk6y0Jcg30kngd,否
8,https://waytoagi.feishu.cn/wiki/JsJqwYItbiy8XNkGuCpceVlZnvb?from=from_copylink,Agent效率X10，ClaudeCode/Codex 专属的文件管理Agent：Agentfile,Agent效率X10，ClaudeCode/Codex 专属的文件管理Agent：Agentfile,20260512,JsJqwYItbiy8XNkGuCpceVlZnvb,否
9,https://waytoagi.feishu.cn/wiki/EXDOw1O3TiYAflkRTiCcJTUPnwd?from=from_copylink,新站 SEO 基础上，如何多做一点 GEO？,新站 SEO 基础上，如何多做一点 GEO？,20260512,EXDOw1O3TiYAflkRTiCcJTUPnwd,否
10,https://waytoagi.feishu.cn/wiki/CzyfwZRBKi5oxFk6Ugbcy4AYnFg?from=from_copylink,绝大多数 Claude 用户都忽略的 21 个设置,绝大多数 Claude 用户都忽略的 21 个设置,20260512,CzyfwZRBKi5oxFk6Ugbcy4AYnFg,否
